MIN;AVG;MAX
34;49;54
45;49;50
41;48;51
40;44;46
42;46;55
43;48;50
25;44;47
43;45;47
41;45;48
43;45;47
40;44;46
43;45;48
39;47;50
42;46;50
42;44;49
18;41;47
44;46;48
44;47;49
40;44;47
41;44;48
44;45;48
