MIN;AVG;MAX
11;42;50
36;42;44
37;45;47
42;45;47
42;44;46
42;44;46
42;44;47
41;43;45
41;44;45
42;44;46
35;43;47
37;42;44
33;42;44
39;42;44
38;43;46
39;42;45
41;43;44
13;41;44
20;42;46
41;43;45
40;43;44
39;42;45
39;43;45
41;43;45
41;43;45
41;44;46
39;43;46
41;43;45
39;43;45
37;43;45
39;43;46
30;43;45
37;44;47
40;43;45
39;43;45
40;43;47
41;43;45
39;44;50
37;48;51
44;47;50
37;44;49
33;43;49
45;48;52
37;49;53
41;50;53
47;50;53
41;45;49
19;43;46
41;44;46
42;45;47
38;44;46
31;44;46
37;44;46
42;44;46
41;44;47
41;45;46
41;44;46
43;45;47
44;45;47
42;45;47
41;47;50
38;45;47
43;45;47
43;45;48
37;45;47
42;45;48
42;47;51
24;42;51
41;43;45
40;43;44
40;42;44
28;42;44
